well,manufacture,run,trl,pulling_date,failure_mode,category,failure_item,failure_item_specific,general_failure_descriptor,detailed_failure_descriptor,general_failure_cause,specific_failure_cause,recommendation,area,package,runlife_code,data_reference,difa_meeting_with_vendor,failure_component_pump,failure_component_motor,failure_component_protector,reservoir_fluids,note,failure_component_mle,failure_component_main_cable,failure_component_gas_separator_or_intake,installation_date,difa_date,dhp_date
SH-C6,Powerlift,127.0,617.0,2016-12-08 00:00:00,EDHP,DIFA Internal,Gas Separator/intake,Housing,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible root cause: Sand produced from reservoir -> Erroded at inner radius tube and housing of gas separator -> Gas separator parted on each housing -> Half of ESP drop to the well -> ESP declared EDHP Recommendation: 1. Wellbore cleanout 2. Use vortex gas separator type to avoid erosion in sandy well 3. Mixed flow stages 4. Apply sand control,,,ORANGE,DIFA,,,,,Sand & Scale,"DIFA Finding: 1. Pump UT : Shaft rotation stuck, top-middle-bottom UT & DT washer moderate worn, top-middle-bottom bushing worn, full sand & scale on pump stages, pump stages moderate radial worn Pump LT : Shaft rotation stuck, top-middle-bottom UT & DT washer moderate worn, top-middle-bottom bushing worn, full sand & scale on pump stages, pump stages moderate radial worn 2. Gas Separator: No DIFA data 3. Protector: No DIFA data 4. Motor: No DIFA data 5. Cable: No DIFA data 6. Sensor: No DIFA data Pulling Finding: ESP parted on gas separator body. Half GS + Protector + Motor + Sensor left in hole",,,Housing,2016-07-05,2017-03-10,2016-11-08
FB-12,Reda,199.0,302.0,2016-12-22 00:00:00,MDHP,DIFA Eksternal,Pump,Stages,Mechanical Failure,Stuck,Reservoir Related,Reservoir Fluids,Possible root cause: Presence abrasive material => worn out pump stages (broken bushing supports and broken impeller hub) => DT washer missing=> metal to metal against diffuser DT pad => increasing motor temperature => locked the pump shaft and finally break the shaft of the AGH => declare MDHP Recommendation: 1. Install sand screen to minimize sand content entering the pump 2. Develop well cleaning program 3. Use VSD,CBU,A,ORANGE,DIFA,,Stages,,,,"DIFA Finding: 1. Pump UT: Shaft rotation stuck, top/mid/bottom bushing sleeve uniform worn, impeller DT washer missing, impeller UT washer slight wear, diffusers/impellers moderate thrust wear-slight radial wear. Pump LT: Shaft rotation rough, top/mid/bottom bushing sleeve uniform worn, impeller DT washer missing, impeller UT washer slight wear, diffusers/impellers moderate thrust wear-severe radial wear. AGH: Shaft rotation rough, Housing scarred axially, Shaft broken, top bushing sleeve uniform worn, mid/bottom bushing sleeve broken-missing, impeller DT/UT washer missing, diffusers/impellers moderate thrust wear-severe radial wear. 2. Intake: Shaft rotation free, shaft spline uniform radial wear, radial bearings missing. 3. Protector: No DIFA data. 4. Motor ST: Shaft rotation free, P-P= 1.64 ohm x 3 (good), P-G= 2000 Mohm x 3 (good), dark oil inside, housing corroded, shaft scored, down thrust bearing negligible wear, rotor bearing sleeve disclorored. 5. Sensor: No DIFA data. 6. Cable: No DIFA data.",,,,2016-04-03,2017-05-02,2016-10-18
KD-06,Powerlift,207.0,899.0,2017-01-23 00:00:00,MDHP,DIFA Eksternal,Tubing,Body,Mechanical Failure,Leaking,Other,Tubing Leak,Possible root cause: Sand produced from reservoir -> tubing leak due to erosion -> loss flow -> MDHP Recommendation: 1. Apply Sand control. 2. Ensure tubing in good condition before RIH. 3. Use mixed flow pump for better handling in sandy well.,CBU,,ORANGE,DIFA,Not Yet,,,,Sand,"1. Pump LT: Shaft turns free, UT and DT washer worn, Stages plugged with sand. Pump UT: Shaft turns free, UT and DT washer worn, Stages plugged with sand. 2. Gas separator: Shaft turns free, all parts in good condition. 3. Protector LT: Shaft turns free, all clear oil in all chambers. Protector UT: Shaft turns free, all clear oil inside bottom-thrust chamber, dark oil and water inside top bag, mechanical seal failed, top bag was craked. 4. Motor ST: Shaft turns free and shaft scored, P-P: 1,6/1,6/1,6 Ohm P-G: 2000/2000/2000 Mohm, housing leaks at base, clear oil and free of water inside, rotor bearing sleeve worn. 5. Sensor: No DIFA. 6. Cable: No DIFA Note: From pulling report found tubing leak 1 joint above TRSV.",,,,2016-02-16,2017-03-29,2016-09-09
KH-04,Powerlift,534.0,694.0,2017-02-07 00:00:00,EDHP,DIFA Eksternal,Pump,Stages,External Influence,Plugged With Solids,Reservoir Related,Reservoir Fluids,Possible root cause: Pump stages plugged with sand --> Pump hard to rotate --> all bags and top mechanical seal bellow cracked --> Water penetrates into motor --> EDHP Recommendation: 1. Sand clean out. 2. Use BPBSL Protector without mechanical seal between the bag 3. Use tandem protector for more redundant system to overcome overheated ESP in the future.,CBU,E,GREEN,DIFA,Not Yet,Stages,,,,"DIFA Finding: 1.Pump UT: Shaft rotation rough and shaft uniform radial wear, scaled on housing, All shaft support bearing uniform worn, DT/UT washer missing, Impeller/Diffuser slight thrust wear, impeller/diffuser 100% plugged by sand. Pump LT : Shaft rotation rough, scaled on OD housing and housing scarred axially, All shaft support bearing uniform worn, DT/UT washer missing, Impeller/Diffuser slight thrust wear, sand deposite on impeller/diffuser. 2. Gas separator : Shaft rotation free, head/centralizer bushing uniform wear, compress tube uniform wear. 3.Protector UT : Shaft rotation free and shaft uniform radial wear, all contains Dark-Water, thrust bearing and runner negligible worn, top/bottom bag punctured/teared, top/upper bag-lower bag bellow mechanical seal cracked, head bushing worn. Protector LT : Shaft rotation free, all contains Dark-Water, top/bottom bag punctured/teared, 4. Motor ST : Shaft rotation free and shaft scored, Reading P-P= 1.5/1.51/1.5 Ohm (Good), P-G=23.7/23.7/23.7 Mohm (Failed), contains black oil and little of water, thrust bearing and runner moderate worn, rotor bearing sleeve worn, head-base bushing uniform radial wear, pothead o-ring hard, pothead MLE burn. 5. Sensor : ZENITH E4 run 535 day, after check & tes, sensor was good condition 6. Cable : No DIFA data.",,,,2015-01-06,2017-04-28,2016-06-22
KH-11,Powerlift,715.0,921.0,2017-02-13 00:00:00,EDHP,DIFA Eksternal,Motor,Housing,Mechanical Failure,Leaking,Fabrication Related,Manufacturing Problem,"Possible root cause: motor housing leaking at cross over --> water ingress to motor --> motor grounded --> EDHP. Recommendations: 1. Improve ESP assembly and testing process, especially for motor.",CBU,E,GREEN,DIFA,Not Yet,,Housing,,,"DIFA Finding: 1. Pump UT: Shaft rotation sfree, DT Washer missing. Pump LT : Shaft rotation free, DT Washer missing. 2. Gas separator : Shaft rotation free. 3. Protector UT : Shaft rotation free and shaft uniform radial wear, all contains Dark-Water, thrust bearing and runner negligible worn, top/bottom bag punctured, rotating/stationary element and seal top mechanical seal worn, all seal bellow mechanical seal cracked, head bushing worn, housing scarred axially. Protector LT : Shaft rotation free, all contains Dark-Water, Top bag punctured and collapsed, Bottom bag punctured at hole position and collapsed. 4. Motor ST : Motor ST :Shaft rotation free and shaft scored, P-P= 1.1/2.6/2.8 Ohm (Failed), P-G=1.1/2.6/2.8 Mohm (Failed), contains dark/discolored and much water, thrust bearing and runner negligible worn, rotor bearing sleeve worn, head bushing uniform radial wear, pothead o-ring hard, housing leak (at x-over). 5. Sensor: PHOENIX XT 150 - 0 was running 715 day, after check & tes, sensor was good condition. (PHOENIX XT 150 - 0 new). 6. Cable : No DIFA data.",,,,2014-12-09,2017-05-12,2016-11-22
CE-11ST,Reda,171.0,380.0,2017-02-16 00:00:00,MDHP,DIFA Eksternal,Gas Handler,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible root cause: Scale deposit on pump stages --> Shaft hard to rotate while in wellbore --> AGH Shaft broken --> MDHP Recommendations: 1. Apply scale treatment,SBU,A,ORANGE,DIFA,Not Yet,Shaft,,,Scale,"DIFA Finding: 1. Pump UT and LT: Shaft rotation was free, Lot of scale on pump stages (reactive with HCl 30%), Scale on housing, Impeller DT washers had light uniform wear, Impeller had moderate radial wear, Bearing bushings against shafts sleeves had light uniform wear AGH: Shaft was broken off at stages #2 (from top), Shaft rotation was free (rotated from bottom), Scale on AGH stages (reactive with HCl 30%), Scale on housing, Impeller UT washers were gone but no metal to metal contact, DT washers had moderate uniform wear, Impeller had severe radial wear, Shaft sleeve on head was broken, the rest were light uniform scored 2. Gas Separator: Shaft rotation was free, Thin layers of scale on housing, All bearing bushings and shaft sleeves had light uniform wear 3. Protector: No DIFA 4. Motor: Shaft rotation was free, Electrical reading P-P 2.24/2.24/2.24 ohm (bal), P-G 2000/2000/2000 Mohm (bal), Motor contains discolored oil, Blistered paint was noted on housing 5. Cable: No DIFA 6. Sensor: No DIFA",,,,2016-04-10,2017-05-23,2016-09-27
KJ-C4,Powerlift,379.0,476.0,2017-02-18 00:00:00,MDHP,DIFA Eksternal,Pump,Stages,Material Failure,Worn,Reservoir Related,Reservoir Fluids,Possible Root Cause: Sand produced from reservoir --> pump's stages severely eroded --> pump loss some of its head --> less fluid produced to surface --> MOFF due to U/L--> MDHP. Recommendations: 1. Apply sand control. 2. Use VSD to gradually increase rate during ESP start up or restart. 3. Use pump with mixed flow type and larger pump size.,CBU,E,YELLOW,DIFA,Not Yet,Stages,,,,"DIFA Finding: 1.Pump UT: Shaft rotation rough and shaft severe radial wear, DT/UT Washer missing, Sand on Impeller/Diffuser, Impeller/Diffuser severely eroded, all shaft support bearing uniform worn, impeller slight radial wear, diffuser slight radial and thrust wear. Pump LT : Shaft rotation rough and shaft severe radial wear, DT/UT Washer missing, Sand on Impeller/Diffuser, Impeller/Diffuser severely eroded, all shaft support bearing uniform worn, impeller/diffuser severe radial wear, diffuser thrust wear, found holes in housing due to erosion. PGP : Shaft rotation free, DT/UT Washer missing, Sand on Impeller/Diffuser, Impeller/Diffuser severely eroded, Diffuser/impeller slight thrust wear and severely radial wear, all shaft support bearing uniform worn and cracked. 2. Intake : Shaft rotation free, top cube bushing eroded. 3.Protector ST : Shaft rotation free and shaft uniform radial wear, top bag contains Dark-Water,bottom bag-labyrinth chamber-thrust chamber contains dark oil, top bag teared, rotating/stationary element top and upper-lower bag mechanical seal worn, upper-lower bag/lower bag-labyrinth/labyrinth-thrust chamber seal bellow cracked, head bushing uniform radial wear. 4.Motor ST : Shaft rotation free and shaft scored, Reading P-P=1.3/1.3/1.3 Ohm (Good), P-G=1500/1500/1500 Mohm (Good), contains clear oil and free of water, thrust bearing and runner negligible worn, rotor bearing sleeve worn, head bushing uniform radial wear, pothead o-ring hard, rotor worn on OD. 5. Sensor : PHOENIX - XT 150 - 0 was running 378 day, after check & tes, sensor was good condition. (PHOENIX-XT150-0 new). 6. Cable : No DIFA data.",,,,2015-11-21,2017-05-12,2016-03-12
ZD-12,Reda,566.0,312.0,2017-03-05 00:00:00,DHP TL,DIFA Eksternal,Pump,Housing,Mechanical Failure,Leaking,Reservoir Related,Reservoir Fluids,Possible root cause: Casing leak ==> liquid flow thru casing leakage ==> create jetting on top UT pump housing ==> pump housing leak ==> less or no fluid flow to surface ==> DHPTL Recommendation: '- Raise up PSD 2 joints or more (done) - Apply sand control (several stages severely eroded).,CBU,,GREEN,DIFA,Not Yet,Housing,,,Liquid Jetting,"1. Pump UT: Shaft turns free, housing eroded at top section (looks like jetting from outside), UT washers gone and slight wear, DT washers gone, diffuser eroded at balance bores, impeller moderate radial wear and slight thrust wear, shaft support bearing uniform worn. Pump CT LT and AGH: Housings were in fairly good condition, all stages had have the same conditions as the UT pump. 2. Intake: no DIFA 3. Protector: no DIFA 4. Motor : Shaft rotation turns free, P-P: 0,88/0,88/0,88 Ohm P-G: 2000/2000/2000 Mohm, discolored oil inside, rotor bearing sleeve discolored, rub casing marks on housing, thrust bearing slightly scored, shaft surface was discolored, coil strips were brittle, rotor thrust washer brittle. 5. Sensor: no DIFA 6. Cable: no DIFA",,,,2015-07-24,2017-06-05,2017-02-08
ZD-11,Reda,71.0,534.0,2017-03-09 00:00:00,MDHP,DIFA Internal,Gas Handler,Stages,Mechanical Failure,Stuck,Reservoir Related,Reservoir Fluids,Possible root cause: Scale & mud-like material deposited on all of pump and AGH stages--> AGH stages hard to rotate and/or stuck--> ESP tripped Overload--> MDHP Recommendation: 1. Wellbore clean out. 2. Fluid sampling analysis to investige the scale material. 3. Apply scale inhibitor based on lab test result.,CBU,,ORANGE,DIFA,Not Yet,Stages,,,Sand & Mud,"DIFA Finding: 1. Pump UT: Shaft rotation free, impeller DT washer moderately worn & brittle, impeller UT washer gone & rubbing against the slot, impeller moderately radial worn, bearing bushing moderately uniform worn, thin layer of scale on housing (low reactive to HCl 30%), lots of scale & mud deposited at top stages (very low reactive to HCl 30%). Pump LT: Shaft rotation free, presence of find sand such mud deposited at top stages, impeller DT washer moderately worn & brittle impeller UT washer gone & rubbing against the slot & at bottom section moderately worn, impeller slightly radial worn, bearing bushing slightly uniform worn, thin layer of scale on housing (low reactive to HCl 30%). AGH: Shaft rotation hard, presence of scale on AGH stages (mostly at top section), impeller DT washer moderately worn & brittle, impeller UT washer moderately worn & brittle, impeller slightly radial worn, bearing bushing slightly uniform worn, coating of scale on housing. 2. GS: Shaft rotation free, intake screen missing while intake holes OK, inducer & pickup impeller covered by thin scale, bearing bushing had light uniform worn. 3. Protector: Shaft rotation free, dark oil inside top bag-bottom bag-labyrinth-thrust chamber, both bags OK, thrust bearing OK, housing covered by scale and corroded. 4. Motor: Shaft rotation free, P-P= 0.57/0.57/0.57 Ohm (good), P-G= 2000/2000/2000 MOhm (good), oil discolored, rotor thrust washer brittle, housing covered by scale, thrust bearing OK. 5. Sensor: No DIFA data, based on pulling report --> no damage on housing. 6. Cable: No DIFA data, based on pulling report --> no damage on armor, P-P & P-G= 2000MOhm.",,,,2014-08-13,2017-07-11,2014-10-23
ZE-02,Powerlift,477.0,514.0,2017-03-14 00:00:00,MDHP,DIFA Eksternal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible Root cause: Sand and scale built up on pump stages -> Pump shaft hard to rotate -> Motor keep delivered torque through shaft -> Pump shaft broken -> MDHP. Recommendation: 1. Apply sand control 2. Apply scale inhibitor 3. Improve bag and mechanical seal quality.,CBU,,GREEN,DIFA,Not Yet,Shaft,,,Sand & Scale,"1. Pump UT: Shaft rotation rough, UT and DT washer worn, Sand and scale on stages, Stages moderate thrust and radial wear, Head 50% plugged with sand, Scale on housing. Pump LT: Shaft rotation stuck and broken at lower part, UT and DT washer worn, Sand and scale on stages, Stages moderate thrust and radial wear, Scale on housing. PGP: Shaft turns free, UT and DT washer worn, Sand and scale on stages, Stages moderate radial wear. 2. Intake: Intake was in good condition 3. Protector UT : Shaft turns free, Dark oil and water inside top bag-bottom bag-labyrinth-thrust chamber, All mechanical seal bellow failed, Top bag was cracked, Thrust bearing moderate wear. Protector LT : Shaft turns free, Dark oil and water inside top bag, Dark oil and no water inside bottom bag-labyrinth-thrust chamber, All mechanical seal bellow failed, Top bag was cracked. 4. Motor ST: Shaft turns free, P-P:1.8/1.8/1.8 Ohm P-G:2000/2000/2000 Mohm, clear oil and no water, Rotor bearing sleeve worn, Thrust bearing moderate wear. 5. Sensor: No DIFA , Sensor burnt. 6. Cable: No DIFA.",,,,2015-12-01,2017-06-06,2017-03-21
FC-01,Reda,203.0,451.0,2017-03-19 00:00:00,EDHP,DIFA Eksternal,Protector,Unknown,Unknown,Unknown,Unknown,Unknown,"Possible root cause: Mechanical seal failed or not functioning properly --> water ingress to all protector chambers --> water ingress to motor --> motor insulation short --> EDHP Notes: Protector not DIFA, motor and MLE leak test passed. Recommendation: 1. Ensure all ESP equipment are dismantled on every DIFA.",CBU,A,ORANGE,DIFA,Not Yet,,,,,"DIFA Finding: 1. Pump UT: Shaft rotation free, shaft sleeves slightly uniform worn, stages scaled (not reactive to 15% HCl), impeller moderately radial worn, impeller downthrust washer gone at upper section but did not rubbing against the slot while the impeller downthrust washer at lower section slightly uniform worn. Pump LT: Shaft rotation free, shaft sleeves slightly uniform worn, stages scaled (not reactive to 15% HCl), impeller moderately radial worn, diffuser moderately radial worn, impeller downthrust washer sligthly worn. 2. GS: No DIFA data. 3. Protector: No DIFA data. 4. Motor: Shaft rotation free, P-P= 4.02/7.70/33.1 Ohm (failed), P-G= 0/0/0 Mohm (failed), found dark oil-water inside motor, shaft slightly scored and discolored, housing completely covered by scale, rotor thrust washer brittle, rotor bearing sleeves discolored, thrust bearing heavily scored and discolored, housing pressure test OK. 5. Sensor: No DIFA data. 6. Cable: No DIFA data.",,,,2016-05-08,2017-07-21,2016-11-26
SH-C8,Powerlift,262.0,321.0,2017-04-22 00:00:00,EDHP,DIFA Eksternal,MLE,Pothead,Electrical Failure,Short Circuit,Fabrication Related,Reservoir Performance,"Possible Root Cause: Motor overheated, probably due to less rate --> pothead insulation degraded --> pothead burned --> EDHP Recommendation: 1. Ensure all DIFA data as completed as possible for accurate analysis 2. Apply sand control",CBU,E,ORANGE,DIFA,Not Yet,,,,,"DIFA Finding: 1. Pump UT: Shaft rotation free, DT/UT Washer missing, impeller slight radial wear, sand on impeller/diffuser Pump LT : Shaft rotation free. DT/UT Washer missing, impeller slight radial wear, sand on impeller/diffuser. 2. Gas separator : Shaft rotation free and shaft was worn at middle joint bushing, top housing severly eroded from inside and has hole, all radial bearing uniform radial wear, gas separator rotor worn, compress tube top and bottom was worn. 3. Protector UT : Shaft rotation free, all bags/labyrinth/thrust chamber contains dark oil and water, all bags punctured, top mechanical- lower bag-labyrinth seal bellow worn, upper bag-lower bag mechanical seal rotating and stationary element worn, thrust bearing and runner negligible worn. Protector LT : Shaft rotation free and shaft uniform radial wear, all bags/labyrinth/thrust chamber contains all clear oil, all mechanical seal rotating and stationary element worn, lower bag-labyrinth mechanical seal rotating element broken. 4. Motor ST : Shaft rotation free and shaft scored, Reading P-P= 1.6/1.6/1.6 Ohm (Good), P-G=2000/2000/2000 Mohm (Good), contains clear oil and free of water, rotor bearing sleeve worn, head-base bushing uniform radial wear, pothead o-ring hard, housing scarred axially. 5. Sensor : PHOENIX XT 150 - 0 was running 261 day, after check & test, sensor was high temp [199°C]. (PHOENIX XT 150 - 0 recondition) 6. Cable : No DIFA data",Pothead,,,2016-04-18,2017-07-14,2017-04-01
CG-14,Reda,198.0,129.0,2017-04-23 00:00:00,EDHP,DIFA Eksternal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,"Possible root cause: Scale build up on pump stages and head -> 100% blocked the flow path -> Shaft hard to rotate -> motor kept delivering the torque -> UT pump shaft broken 18 stages from bottom , LT pump shaft broken 18 stages from top -> ESP loss flow -> found downhole electrical low reading -> EDHP *Notes: no details of EDHP analysis from DIFA report Recommendation: 1. Apply scale inhibitor",SBU,,ORANGE,DIFA,Not Yet,Shaft,,,Scale,"1. Pump UT: Shaft was stuck, shaft broken at stages 18 from bottom, housing completely covered by scale (reacted against 15% HCl), stages completely plugged by scale (reacted against 15% HCl), stages can not be dismantled from housing. Pump LT: Shaft was stuck, shaft broken at stages 18 from top, housing completely covered by scale (reacted against 15% HCl), stages completely plugged by scale (reacted against 15 % HCl), UT and DT washers moderate uniform wear, head completely blocked by scale, impeller slight radial wear. AGH: Shaft turns free, housing covered by scale, scale deposit on stages, UT washer moderate uniform wear, DT washer gone, impeller light uniform wear. 2. Intake: Shaft turns free, scale on housing, inducer and pick up impeller coated by scale, bearing bushing against shaft sleeve had light uniform wear. 3. Protector: Shaft turns free, dark oil and water inside top bag-bottom bag-labyrinth chamber, dark oil inside thrust chamber, top and bottom bag collapsed (top bag was teared), seal seat was scored of top mechanical seal, housing covere by thin scale, upper and lower bag were light scoring, relief valve out of manufacturing. 4. Motor: Shaft turns free, P-P: 0,86/0,86/0,86 Ohm P-G: 17/17/17 Mohm. dark oil inside, housing covered by scale, thrust washer brittle, shaft setting within manufacturing, shaft surface was discolored. 5. Sensor: no DIFA 6. Cable: no DIFA (however it found low meg during pulling)",,,,2016-04-08,2017-05-23,2016-10-22
SH-C3,Reda,181.0,501.0,2017-04-26 00:00:00,EDHP,DIFA Eksternal,Main Cable,Insulation,Electrical Failure,Short Circuit,Unknown,Unknown,Possible root cause: Unknown due to no DIFA on Cable Recommendation: 1. Apply scale inhibitor (reactive to 30% HCL) 2. Wellbore clean out,CBU,,ORANGE,DIFA,Not Yet,,,,,"DIFA Finding: 1. Pump UT: Shaft rotation was rough, stages were completely blocked by scale (reactive with HCL 30%), upthrust washer was light scored, downthrust washer was moderate scored, impeller was heavily scored, shaf sleeves were moderate uniform scored, housing was scaled Pump LT: Shaft rotation was free, stages were scaled (reactive with HCL 30%), upthrust washer was light scored, downthrust was moderate scored, impeller was moderate uniform worn, shaft sleeves were light uniform worn, housing was scaled 2. Gas Separator: Shaft rotation was free, shaft sleeves were light uniform wear, housing was scaled 3. Protector: Shaft rotation was free, both elastomer bags were a bit collapse, all chambers contained discoulour oil, upper-lower thrust bearing were light scoring, housing was scaled 4. Motor: Shaft rotation was free, P-P reading 2,24-2,24-2,24 ohm (good/balance)/P-G 2000 M.ohm (good), motor contains discolored oil, rotor sleeves were discolored, coil strips were brittle, housing was scaled 5. Cable: No DIFA Data, Cable unbalance and low reading P-P = 5.1 ohm / 5.0 ohm / 5.1 ohm; P-G = 5.2 ohm / 5.1 ohm / 5.0 ohm based on pull observation data. 6. Sensor: No DIFA Data, Good condition based on pull observation data.",,Insulation,,2016-07-02,2017-05-24,2016-12-29
FA-12,Reda,76.0,515.0,2017-05-02 00:00:00,MDHP,DIFA Internal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible root cause: Sand produce from reservoir --> bushing cracked and broken due to sand intrusion --> pump loose its radial stability --> pump LT shaft broken --> MDHP Recommendation: 1. Wellbore clean up. 2. Use mixed flow pump stages. 3. Use VSD to conduct startup/restart gradually. 4. Use corrosion inhibitor or corrosion resistant ESP material.,CBU,,ORANGE,DIFA,Not Yet,Shaft,,,Sand,"DIFA Finding: 1. Pump UT: Shaft rotation hard, fine sand deposited on stages (few amount), impeller hubs broken, diffuser mushroom broken, impeller UT washer missing, impeller DT washer missing & rubbing against the slot, bearing bushing at upper section broken while at lower section heavily uniform worn, housing scratched. Pump LT: Shaft rotation stuck & shaft broken (7in from lower spline), impeller hubs heavily uniform worn & cracked, impeller UT washer missing, impeller DT washer missing & rubbing against the slot, bearing bushing at upper section heavily uniform worn while at lower section broken, impeller heavily thrust worn, housing scratched, middle section stages unable to be dismantled due to stages seized against shaft. 2. Intake: Shaft rotation free, intake screen ok, bearing bushing against shaft sleeves moderately one-sided worn. 3. Protector: Shaft rotation free, dark oil-water inside top bag-bottom bag-labyrinth-thrust chamber, top seal was leaked, top seal seat surface scored, relief valve function out of manufacturing specs, upper thrust bearing lightly scored while lower thrust bearing heavily smeared, bushing support at top end was scored/smeared against shaft sleeve, housing heavily scratched & heavily corroded. 4. Motor: Shaft rotation free, P-P= 1.13/1.13/1.3 Ohm (good), P-G= 2000/2000/2000 MOhm (good), oil discolored, rotor bearing sleeves discolred, housing heavily scratched & heavily corroded, thrust bearing heavily smeared, bushing supportss lightly uniform worn. 5. Sensor: No DIFA data, based on pulling report --> no damage seen 6. Cable: No DIFA data. based on pulling report --> no damage on armor, P-P & P-G= 1500 MOhm.",,,,2016-05-13,2017-08-23,2016-07-27
SH-C9,Powerlift,164.0,963.0,2017-05-08 00:00:00,MDHP,DIFA Eksternal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible Root Cause Sand produced from reservoir --> significant amount of sand built up on stages --> pump shaft hard to rotate --> motor kept delivering torque to the shaft --> UT pump shaft broken --> ESP no BUP --> ESP Tripped High TM --> Declare MDHP Recommendation: 1. Sand clean out 2. Use Mixed flow stages 3. User bigger pump size with lower frequency to minimize plugging by sand 4.Use BPBSL Protector without mechanical seal for higher HP Motor,CBU,E,ORANGE,DIFA,Not Yet,Shaft,,,,"DIFA Finding: 1. Pump UT: Shaft stuck and broken at spline, shaft radial wear, all bushing/sleeve uniform worn, all washer missing, sand on stages, impeller/diffuser moderate thrust and radial wear. Pump LT : Shaft stuck and shaft radial wear, coupling worn, all bushing/sleeve uniform worn, all washer missing, sand on stages, impeller/diffuser moderate thrust and radial wear. 2.Gas separator : Shaft rotation free. 3. Protector UT : Shaft rotation free, All bags and thrust chamber contains Dark-Water oil, top mechanical seal bellow broken, top bag collapsed and cracked, bottom bag cracked, thrust bearing and runner negligible worn. Protector LT : Shaft rotation free, top bag contains all clear oil, bottom bag/thrust chamber contains clear-water oil, top bag collapsed and punctured, bottom bag collapsed. 4. Motor ST :Shaft rotation free and shaft scored, Reading P-P= 1.3/1.3/1.3 Ohm (Good), P-G=200/200/200 Mohm (Failed), contains black oil and much of water, thrust bearing and runner negligible worn, rotor bearing sleeve worn, head-base bushing uniform radial wear, housing scarred axially and housing leak pressure test at base. 5. Sensor : PHOENIX XT150-0 was running 164 day, after tear down, founded choke low reading 0,2 MΩ & sensor high temp 188°C. (PHOENIX XT150-0 recondition. 6. Cable : No DIFA data",,,,2016-06-26,2017-06-22,2016-12-06
WA-12,Reda,224.0,420.0,2017-05-08 00:00:00,EDHP,DIFA Eksternal,Pump,Shaft,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible Root Cause: Metal debris-sand-rubber like material plugged inside top pump stages --> stages stuck --> shaft parted 6 in from top of UT pump --> pump kept running for a while --> heavy vibration occurred --> mechanical seal damaged and leaked --> water penetrates to protector and motor --> EDHP Recommendation: 1. Ensure no debris enter the tubing especially during tubing flushing. 2. Ensure no foreign material dropped to the tubing during ESP installation. 3. Ensure all check valve work properly.,SBU,,ORANGE,DIFA,Not Yet,Shaft,,,Other,"1. Pump UT: Shaft rotation free, shaft broken (6"" from top spline), foreign material found deposited inside top stages (metal debris, sand, brittle rubber), Scale mixed with sand on stages (reactive to HCl 15%), impeller upthrust washer slightly uniform wear, impeller downthrust washer missing with slightly rubbing against the slot, impeller radial mating surface-hub-skirt-balance ring moderately uniform scored, bearing bushing and shaft sleeves moderately uniform scored, housing scratched. Pump CT1: Shaft rotation free, found sand deposited inside stages, impeller upthrust washer slightly uniform wear, impeller downthrust washer missing with slightly rubbing against the slot, impeller radial mating surface-hub-skirt-balance ring moderately uniform scored, bearing bushing and shaft sleeves moderately uniform scored, housing scratched. Pump LT: Shaft rotation free, found sand deposited inside stages, impeller upthrust washer slightly uniform wear, impeller downthrust washer missing with slightly rubbing against the slot, impeller radial mating surface-hub-skirt-balance ring moderately uniform scored, bearing bushing and shaft sleeves moderately uniform scored, housing scratched. AGH: Shaft rotation free, impeller upthrust washer gone but did not show metal to metal contact, impeller downthrust washer missing with slightly rubbing against the slot, impeller radial mating surface-hub-skirt-balance ring moderately uniform scored, bearing bushing and shaft sleeves moderately uniform scored, housing scratched and corroded. 2. Gas Separator: Shaft rotation free, vibration marks on housing OD, inducer and pickup impeller rusty but no wear shown, bearing bushing and sleeves light uniform wear. 3. Protector: Shaft rotation free, shaft twisted at thrust runner area, found dark oil-water inside top bag-lower bag-labyrinth-thrust chamber, Both bag collapsed and found sand deposition on OD, Top seal seat runner broken, mechanical seal spring scored, Top seal leaked and not passed pressure test, Relief valve out of manufacturing test spec. 4. Motor: Shaft rotation free, P-P= 187.4/84.5/124.5 Ohm (unbalance), P-G= 0 Mohm, Burnt out at stator winding (bottom end), Discolored oil with water, Thrust bearing collapsed (severely worn), Rotor bearing sleeves worn, housing scratched, bushing support lightly scored. 5. Cable: No DIFA data. 6. Sensor: No DIFA data.",,,,2016-07-15,2017-08-22,2017-02-23
