well,psd,current_pack,purchase_or_rent,vendor,pump_type,stg,hp,volt,amp,boi_or_gs,agh_or_pg,shroud,protector,sensor,job_type,brg,start_date,dhp_date,declare_date,failure_mode,trl,afe,esp_unit_price,total_esp_price,purchase_price,pulling_date,penetrator,cable,pump,intake,gas_handler,protector,motor,pothead,sensor,pump_head,pump_base,pump_housing,pump_shaft,pump_stages,intake_head,intake_base,intake_shaft,intake_housing,intake_screen,protector_head,protector_base,protector_shaft,protector_housing,protector_seal_chamber,motor_head,motor_base,motor_shaft,motor_housing,motor_reading,pothead,mle,rc,packer,penetrator,tubing,other_pulling_findings,failure_cause,well_review,status,pooh_finding,pump_specification,run,rl_weight,rl_code,daily_charge,area,failure_item,detailed_failure_descriptor,specific_failure_cause,reservoir_fluids,note,lastdhp,lastdhp2,lastdhp3,run1,run2,run3,arl3last,pulling_finding,type_of_work,pulled_out
AA-01,3465.0,OLD,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,,225,2012-12-12,2013-04-08,2013-04-08,EDHP,614.0,12-IA-00343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLE Burn Out,,,,,Flat cable burnt out,,,DHP,---------------------MLE Burn out-----Flat cable burnt out,QM265 43stg 676HP INT  ,117.0,2.0,ORANGE,0.0,N,,,,,,2013-04-08,2012-08-12,2012-04-17,117.0,109.0,13.0,79.66666667,"The pump was pulled out manual off  due to tripped on load shedding and tripped with under volt, CUB, short CCT, & stall indication.  Troubleshoot by Power NBU & Powerlift rep's check on the pigtail : P1-P2 : 325 KOhm, P1-P3 : 344 KOhm, P2-P3 : 2,6 KOhm, and P1-G : 416 KOhm, P2-G : 148 KOhm, P3-G : 64 KOhm, Confirmed  EDHP, RL: 117 days . Found Flat Cable Burn Out (Above Motor). A similar of Powerlift pump was installed",Pump Repair,pulled
AA-01,3465.0,C,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,PR,223,2013-04-21,2013-10-15,2013-10-15,EDHP,624.0,13-IA-00148,119649.0,146155.7,146155.7,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Sensor bad reading after disconnected form the motor,,,DHP,--------------------------Sensor bad reading after disconnected form the motor,QM265 43stg 676HP INTEGRAL  ,177.0,2.0,ORANGE,234.2238782,N,,,,,,2013-10-15,2013-04-08,2012-08-12,177.0,117.0,109.0,134.3333333,"The pump was pulled out due to  tripped off due to Inc KARA open and LISA GT-05 tripped off. At 17:15 hrs tried to restart but tripped off with overload, SCCT, CUB and STALL indication.  L/S before tripped off: 440/60/195°F/99A/99.0%, 200/64  choke, PBHP/T: NW. Check cable reading at power plug penetrator by Powerlift Reps and NBU Power, P-P: 70 MOhm/74 MOhm/8.4 kOhm (overload, unbalance), P-G = 0 Ohm (3x, low reading). Confirmed EDHP, R/L: 177 days, Found Flat Cable Blow Out at Protector. A similar size POWERLIFT pump was installed.",Pump Repair,pulled
AA-01,3461.0,C,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,PR,PA,2013-12-29,2016-04-13,2016-04-13,EDHP,624.0,13-IA-00401,120291.64,182663.39,182663.39,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Low Reading,,,,,,,Motor low reading,Normal wear and tear,,DHP,-------------------Motor low reading-------Motor low reading,QM265 43stg 676HP INTEGRAL  ,836.0,4.0,GREEN,292.7297917,N,,,,,,2016-04-13,2013-10-15,2013-04-08,836.0,177.0,117.0,376.6666667,Found Motor LT Low Reading,Pump Repair,pulled
AA-01,2501.0,C,,Powerlift,QM265,44.0,676.0,3780.0,103.0,Integral,,,0,0,PR,221,2016-07-11,2017-06-20,2017-06-20,MDHP,655.0,16-IA-00189,120291.0,148582.75,148582.75,,,,,,,,,,,,,,Pump Shaft Stuck,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing Problem,,DHP,---Pump Shaft Stuck-----------------------,QM265 44stg 676HP INTEGRAL  ,344.0,2.0,ORANGE,226.8438931,N,,,,,,2017-06-20,2016-04-13,2013-10-15,344.0,836.0,177.0,452.3333333,"Found Pump UT and LT S/R Stuck, hsg scratch and blistered paint.Protector. S/R Free, Upper Chamber water inside lower chamber clean oil hsg blistered paint. FM: Pump UT and LT shaft Rotation Stuck.",Pump Repair,pulled
AA-01,2493.0,C,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,PR,BCK,2017-07-21,2019-09-03,2019-09-03,EDHP,655.0,17-IA-00240,102291.0,148448.75,148448.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Low Reading,,,,,,,Motor UT Burn out and Motor Low Reading,Normal wear and tear,,DHP,-------------------Motor low reading-------Motor UT Burn out and Motor Low Reading,QM265 43stg 676HP INTEGRAL  ,774.0,4.0,GREEN,226.639313,N,,,,,,2019-09-03,2017-06-20,2016-04-13,774.0,344.0,836.0,651.3333333,Found FM: Motor UT Burn out and Motor Low Reading,Pump Repair,pulled
AA-01,2495.0,C,,Powerlift,QM265,42.0,644.0,3600.0,103.0,Integral,,,0,0,PR,221,2019-09-16,2021-09-13,2021-09-20,EDHP,688.0,,114234.0,160425.25,160425.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 42stg 644HP INTEGRAL  ,728.0,4.0,GREEN,233.1762355,N,Protector,"Ruptured,burst",Normal Wear And Tear,,"DIFA Finding:
1. Pump UT: Shaft rotation free, impeller UT washer missing, impeller/diffuser erroded-severe thrust washer-slight radial wear.
Pump LT: Shaft rotation free, housing blisteted paint, impeller UT washer missing, impeller/diffuser erroded-severe thrust washer-slight radial wear.
2. Intake: No DIFA data
3. Protector ST: Shaft rotation free, water inside all chamber, base bushing/shaft uniform radial wear, downthrust bearing/runner severe wear, top bag leaks-punctured-ruptured, bottom bag collapsed-ruptured-leaks, top MS rotating elemnent worn-stationary element worn-leaks, lower bag MS seal bellows worn-stationary element broken-rotation element broken-leaks, labyrinth/thrust chamber seal bellows worn-stationary element broken-rotation element broken.
4. Motor UT: Shaft rotation rough, P-P= 5.23 ohm (failed), P-G= 0.53 Mohm x 3 (failed), dark water inside, head/base bushing uniform radial wear, housing scaled on OD-acid soluble, shaft scored, downthrust bearing/runner severe wear, pothead o-ring hard.
Motor LT: Shaft rotation free, P-P= 0 ohm (failed), P-G= 1.15 Mohm x 3 (failed), dark water inside, head bushing uniform radial wear, housing scaled on OD-acid soluble, shaft scored, downthrust bearing/runner negligible wear.
5. Sensor: P-P= 0.665/0.664/0.665 ohm (good), P-G= 2000 Mohm x 3 (good)
6. Cable: P-G= 10000 Mohm x 3 (good)",2021-09-13,2019-09-03,2017-06-20,728.0,774.0,344.0,615.3333333,"B/O & L/D ESP POWERLIFT UNIT (R/L : 724. TRL : 692 DAYS) AS FOLLOW : PUMP UT : QM 265 AR CCR RA C 20 STGS, S/N ZMP190503-2R, S.ROT ROUGH, HSG BLISTERED PAINT. PUMP LT : QM 265 AR CCR RA C 22 STGS, S/N ZMP190503-1R, S.ROT ROUGH, HSG BLISTERED PAINT. INTAKE : INTEGRAL, S.ROT ROUGH, HSG BLISTERED PAINT. PROTECTOR : JPBBLST-AR-CCR-PL3-RF-FD-E-INCH. S/N ZEB190803N, S.ROT ROUGH, HSG BLISTERED PAINT, ALL CHAMBER EMPTY OIL. - MOTOR UT : EMPFUT CCR PL3 RF HL 306HP/103A/1710V, S/N ZED1711Q145-2, S.ROT ROUGH, HSG BLISTERED PAINT.DIRTY OIL, & LOW READING.  READING = P-P : 4.6/4.6/0.6 OHM (UNBALANCE), P-G : 0.5/0.5/0.5 OHM (BALANCE) LOW READING. MOTOR LT : EMPFLT CCR PLE RF HL 338HP/103A/1890V, S/N ZED1711Q145-1, S.ROT ROUGH, HSG BLISTERED PAINT, READING = P-P : 0.6 OHM (BALANCE), P-G : 500 MOHM (BALANCE) . SENSOR : PHOENIX XT-0, S/N S103XE14NO3222, NORMAL CONDITION. F/C : AWG#4, S/N YR1608010. R/C : AWG#1, S/N 13063Y
 READING = P-P : 0.6 OHM (BALANCE), P-G : 500 MOHM (BALANCE).FAILURE MODE : MOTOR UT LOW READING & UNBALANCE









 


",KUPS + ESP Purchase,pulled
AA-01,4406.0,D,Purchase,Powerlift,QM200,49.0,563.0,3150.0,103.0,,,,,,PR,,2021-12-09,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,--------------------------,QM200 49stg 563HP   ,1253.104233,4.0,GREEN,0.0,N,,,,,,,,,,,,,,,
AA-02,,OLD,,Reda,JN12000,35.0,360.0,,,,,,0,0,,,2002-12-10,2006-05-26,2006-05-26,DHP TL,921.0,Blank 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,JN12000 35stg 360HP   ,1263.0,4.0,GREEN,,N,,,,,,2006-05-26,,,1263.0,,,1263.0,,,pulled
AA-02,4650.0,OLD,,Powerlift,QM200,45.0,466.0,2610.0,103.0,BOI,,,0,0,,,2006-06-11,2007-01-16,2007-01-16,EDHP,546.0,06-IA-0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM200 45stg 466HP BOI  ,219.0,2.0,ORANGE,0.0,N,,,,,,2007-01-16,2006-05-26,,219.0,1263.0,,741.0,,,pulled
AA-02,4656.0,OLD,,Powerlift,QM200,41.0,418.0,2340.0,103.0,BOI,,,0,0,,,2007-01-22,2007-06-18,2007-06-18,EDHP,546.0,07-IA-0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM200 41stg 418HP BOI  ,147.0,2.0,ORANGE,0.0,N,,,,,,2007-06-18,2007-01-16,2006-05-26,147.0,219.0,1263.0,543.0,,,pulled
AA-02,4652.0,OLD,,Powerlift,QN120,117.0,418.0,2340.0,103.0,BOI,,,0,0,,,2007-06-28,2010-03-18,2010-03-18,DHP TL,546.0,07-IA-0202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QN120 117stg 418HP BOI  ,994.0,4.0,GREEN,0.0,N,,,,,,2010-03-18,2007-06-18,2007-01-16,994.0,147.0,219.0,453.3333333,,,pulled
AA-02,4660.0,OLD,,Powerlift,QN120,117.0,418.0,2340.0,103.0,BOI,,,0,0,,PB,2010-07-06,2012-11-16,2016-11-22,EDHP,573.0,10-IA-00160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QN120 117stg 418HP BOI  ,864.0,4.0,GREEN,0.0,N,,,,,,2012-11-16,2010-03-18,2007-06-18,864.0,994.0,147.0,668.3333333,"The pump was pulled out due to tripped with indication: low supply and auxiliary (keltronic was blank when tripped, fuse broken). Check from pigtail: P-P 2.5ohm (3x), P-G: 65.4 ohm (low reading). Declared EDHP, RL: 865 days, Found Motor LT  Low Reading and Cable Low Reading.  A similar size  of Powerlift pump was installed.",Pump Repair,pulled
AA-02,4672.0,OLD,,Powerlift,QN120,117.0,418.0,2340.0,103.0,Integral,,,0,0,,225,2012-12-16,2013-11-20,2013-11-20,MDHP,602.0,12-IA-00341,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tubing Leaking,"tubing leak at jt 32 and 33, protector snap ring damaged",,,DHP,"-------------------------Tubing Leaking-tubing leak at jt 32 and 33, protector snap ring damaged",QN120 117stg 418HP INT  ,339.0,2.0,ORANGE,0.0,N,,,,,,2013-11-20,2012-11-16,2010-03-18,339.0,864.0,994.0,732.3333333,"The pump was pulled out due to manualy off, suspected tubing leak. L/S before shut in: 350/30/195°F/95A/98.0%, 200/64  choke, PBHP/T: 1,125#/196°F. Pot.: 83 bopd.   (Nov 20, 2013) Check cable from pig tail : P-P =0.4 Ohm x3 (bal),  P-G =1000 MOhm x3 (bal). Confirmed EDHP,  RL: 338 days, Found Snapring Damage Protector LT and Tbg Leak at Joint 32&33. A similar size of POWERLIFT pump was installed.",Pump Repair,pulled
AA-02,4672.0,C,,Powerlift,QN120,117.0,418.0,2340.0,103.0,Intake,,,0,0,PR,PA,2013-12-17,2016-07-20,2016-07-20,EDHP,546.0,13-IA-00404,97858.0,180514.0,180514.0,,,,,,,X,,,,,,,,,,,,,,,,,,Protector Chamber Collapsed,,,,,Motor Burn Out,,,,,,,,Normal wear and tear,,DHP,--------------Protector Chamber Collapsed-----Motor Burn Out-------,QN120 117stg 418HP INTAKE  ,946.0,4.0,GREEN,330.6117216,N,,,,,,2016-07-20,2013-11-20,2012-11-16,946.0,339.0,864.0,716.3333333,Found Motor UT and LT Burnt Out,Pump Repair,pulled
AA-02,2861.0,C,,Powerlift,QN120,117.0,418.0,2340.0,103.0,Intake,,,0,0,PR,221,2016-08-04,,,,573.0,16-IA-00211,97858.0,132179.75,132179.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,--------------------------,QN120 117stg 418HP INTAKE  ,3206.104233,4.0,GREEN,230.680192,N,,,,,,,,,,,,,,,
AA-03,,OLD,,Other,TJ20000,46.0,576.0,,,Integral,,,0,0,,,2004-09-23,2006-10-16,2006-10-16,EDHP,427.0,Blank 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,TJ20000 46stg 576HP INT  ,753.0,4.0,GREEN,,N,,,,,,2006-10-16,,,753.0,,,753.0,,,pulled
AA-03,4016.0,OLD,,Powerlift,QM265,42.0,676.0,3780.0,103.0,BOI,,,0,0,,,2006-12-25,2007-01-03,2007-01-03,EDHP,721.0,06-IA-0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 42stg 676HP BOI  ,9.0,1.0,RED,0.0,N,,,,,,2007-01-03,2006-10-16,,9.0,753.0,,381.0,,,pulled
AA-03,4016.0,OLD,,Powerlift,QM265,40.0,644.0,3600.0,103.0,Integral,,,0,0,,,2007-01-06,2007-07-20,2007-07-20,EDHP,721.0,07-IA-0420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 40stg 644HP INT  ,195.0,2.0,ORANGE,0.0,N,,,,,,2007-07-20,2007-01-03,2006-10-16,195.0,9.0,753.0,319.0,,,pulled
AA-03,4007.0,OLD,,Powerlift,QM265,47.0,676.0,3780.0,103.0,Integral,,,0,0,,,2007-08-17,2008-08-17,2008-08-17,EDHP,721.0,07-IA-0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 47stg 676HP INT  ,366.0,3.0,YELLOW,0.0,N,,,,,,2008-08-17,2007-07-20,2007-01-03,366.0,195.0,9.0,190.0,,,pulled
AA-03,4024.0,OLD,,Powerlift,QM265,47.0,676.0,3780.0,103.0,Integral,,,0,0,,,2008-09-09,2009-11-05,2010-11-11,DHP TL,721.0,08-IA-00298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 47stg 676HP INT  ,422.0,3.0,YELLOW,0.0,N,,,,,,2009-11-05,2008-08-17,2007-07-20,422.0,366.0,195.0,327.6666667,,,pulled
AA-03,4035.0,OLD,,Powerlift,QM265,47.0,676.0,3780.0,103.0,,,,0,0,,,2009-11-17,2010-07-22,2014-05-25,EDHP,721.0,09-IA-00362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 47stg 676HP   ,247.0,2.0,ORANGE,0.0,N,,,,,,2010-07-22,2009-11-05,2008-08-17,247.0,422.0,366.0,345.0,"The pump was pulled out due to leg ground, lock out indication. Check cable reading from pigtail: P-P: P-P: 2.6 Ohm (3x, Balance), P-G: 1.6 KOhm (3x, balance and low reading). Found motor UT low reading. A similar size of Powerlift pump was installed.",Pump Repair,pulled
AA-03,4045.0,OLD,,Powerlift,QM265,47.0,676.0,3780.0,103.0,Integral,,,0,0,,223,2010-08-06,2011-06-15,2015-01-16,EDHP,721.0,10-IA-00238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 47stg 676HP INT  ,313.0,2.0,ORANGE,0.0,N,,,,,,2011-06-15,2010-07-22,2009-11-05,313.0,247.0,422.0,327.3333333,,,pulled
AA-03,4048.0,OLD,,Powerlift,QM265,47.0,676.0,3780.0,103.0,Integral,,,0,0,,225,2011-07-15,2013-07-06,2016-09-27,EDHP,721.0,11-IA-00205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Low Reading,,,,,,,,,,DHP,-------------------Motor low reading-------,QM265 47stg 676HP INT  ,722.0,4.0,GREEN,0.0,N,,,,,,2013-07-06,2011-06-15,2010-07-22,722.0,313.0,247.0,427.3333333,"The pump was pulled out due to tripped off following load shedding WIDE-AIDA. After power energized, at 13:30 hrs try to restarted but tripped off with Overload, Stall, CUB, VUB, SCCT, Leg ground, Lockout indication. A similar size of Powerlift pump was installed.",Pump Repair,pulled
AA-03,4050.0,C,,Powerlift,QM265,47.0,676.0,3780.0,103.0,Integral,,,0,0,PR,PA,2013-09-15,2013-10-28,2013-10-28,EDHP,721.0,13-IA-00263,121415.0,193652.5,193652.5,,,,,,,X,,,,,,,,,,,,,,,,,,Protector Chamber Collapsed,,,,,Motor Burn Out,,,,,,Tubing Bad Thread Connector,Motor Burnt Out and Tubing Leak,Manufacturing Problem,,DHP,--------------Protector Chamber Collapsed-----Motor Burn Out------Tubing Bad Thread Connector-Motor Burnt Out and Tubing Leak,QM265 47stg 676HP INTEGRAL  ,43.0,1.0,RED,268.5887656,N,,,,,,2013-10-28,2013-07-06,2011-06-15,43.0,722.0,313.0,359.3333333,"The pump was pulled out due to  tripped off with SCCT, Stall, OL, Undervolt, VUB  & Low supply indications. Check cable from Pig tail: P-P =2.8 Ohm,5.5 Ohm ,3.3 Ohm  P-G = 2.6 Ohm, 3.2 Om , 3.1 Ohm (Burnt Out). Confirmed EDHP, RL:  43 days, Found Motor UT was Burnt Out. Up size of Powerlift pump was installed.",Pump Repair,pulled
AA-03,4050.0,C,Rent,Powerlift,QM265,47.0,776.0,3780.0,103.0,Integral,,,0,0,PR,PA,2014-01-03,2022-09-27,2022-09-28,EDHP,721.0,13-IA-00409,121415.0,193652.5,193652.5,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor low reading,Riser leak and normal wear and tear,,DHP,--------------------------Motor low reading,QM265 47stg 776HP INTEGRAL  ,3189.0,4.0,GREEN,268.5887656,N,Protector,Punctured,Normal Wear And Tear,,"DIFA Finding:
1. Pump UT: Shaft rotation free, impeller UT washer missing, impeller/diffuser erroded-moderate thrust wear-slight radial wear.
Pump LT: Shaft rotation free, impeller UT washer missing, impeller/diffuser erroded-moderate thrust wear-slight radial wear.
2. Intake: No DIFA data
3. Protector UT: Shaft rotation free, water inside all chamber, head/base bushing/shaft uniform radial wear, downthrust bearing/runner severe wear, top bag leaks-ruptured, lower bag MS seal bellows worn.
Protector LT: Shaft rotation free, water inside all chamber, downthrust bearing/runner negligible wear, top bag leaks-collapsed-punctured, bottom bag collapsed.
4. Motor UT: Shaft rotation free, water inside, P-P= 0.53 ohm x 3 (good), P-G= 2.25 Mohm x 3 (failed), head/base evidence of water track-bushing one-sided radial wear, housing corroded-scaled on OD-acid soluble-scared axially, shaft scored, downthrust bearing/runner moderate wear, rotor bearing sleeve worn.
Motor LT: Shaft rotation rough, water inside, P-P= 0.53 ohm x 3 (good), P-G= 1.53 Mohm x 3 (failed), head bushing uniform radial wear, head/base evidence of water track, housing corroded-scaled on OD-acid soluble-scared axially, shaft scored, downthrust bearing/runner moderate wear, rotor bearing sleeve worn, pothead damaged-o ring hard, rotor worn on OD at 19-21 (no of rotor from top).
5. Sensor: P-G= 10000 Mohm x 3 (good).
6. Cable: P-P= 1.036/1.037/1.035 ohm (good), P-G= 2000 Mohm x 3 (good).",2022-09-27,2013-10-28,2013-07-06,3189.0,43.0,722.0,1318.0,"FOUND. Tubing. Normal Condition. Head Pump :Thread was damaged when release from tbg.  Pump UT. Shaft Rotation Free, Housing was Scratched. Pump LT. Shaft Rotation Free, Housing was Scratched. Protector UT. Shaft Rotation Free, Housing Blistered Paint, All Chamber Water Inside. Protector LT. Shaft Rotation Free, Housing Blistered Paint, All Chamber Water Inside. Motor UT.Shaft Rotation Free, Black Oil, Housing Scratched,Housing Blistered Paint.Electrical Reading :  P-P : 0.6 Ω, 0.6 Ω, 0.6 Ω,( Balance ) , P-G : 300 MΩ X3 (Balance). Motor LT. Shaft Rotation Free, Black Oil, Housing Scratched,Housing Blistered Paint, And Burnt Out. Electrical Reading :  P-P : 0.6 Ω, 0.6 Ω, 0.6 Ω, ( Balance ) , P-G : 145 Ω X3 (Balance). Round Cable and Flat Cable. Normal Condition. Electrical Reading Round Cable + Flat Cable ; P-P : 1.1 Ω X 3 ( Balance ) P-G : 500 MΩ x3 (Balance) . Sensor. Normal Condition. Stopper. Normal Condition.   FM: Motor LT Was Burnt Out.",ESP Purchase (CO) ,pulled
